Precinct,Ballots,Reg_Voters,Total_Votes,Yes,Yes_Per,No,No_Per,Over_Votes,Under_Votes
434,3783,4484,3493,1383,39.59%,2110,60.41%,0,290
435,4129,4772,3792,1278,33.70%,2514,66.30%,0,337
436,2346,2606,2170,724,33.36%,1446,66.64%,0,176
437,57,62,50,16,32.00%,34,68.00%,0,7
438,286,329,268,58,21.64%,210,78.36%,0,18
439,1701,1967,1525,751,49.25%,774,50.75%,0,176
440,1584,1967,1426,616,43.20%,810,56.80%,0,158
441,75,83,74,33,44.59%,41,55.41%,0,1
442,2804,3231,2561,863,33.70%,1698,66.30%,0,243
444,1,1,1,1,100.00%,0,0.00%,0,0
445,2,2,2,0,0.00%,2,100.00%,0,0
1,298734,357710,273740,112504,41.10%,161236,58.90%,17,24977
